ID,Module,Feature Group,Endpoint,Role,User Story,Expected Behaviour,Params,Status,Test Result / Errors,Automated Test Coverage,Notes
US-001,360 Stays,bookings,POST /api/v1/bookings,Authenticated user,"As authenticated user, I want to create booking.",Create booking.,,Pending,,,
US-002,360 Stays,bookings,GET /api/v1/bookings,Authenticated user,"As authenticated user, I want to list my bookings.",List my bookings.,,Pending,,,
US-003,360 Stays,bookings,GET /api/v1/bookings/all,Authenticated user,"As authenticated user, I want to list all bookings.",Global bookings listing. Admins see all; agents see their managed users/properties.,"status,agent_id,property_id,user_id",Pending,,,
US-004,360 Stays,bookings,POST /api/v1/bookings/calculate-pricing,Public,"As public, I want to calculate booking pricing.",Calculate booking pricing.,,Pending,,,
US-005,360 Stays,bookings,POST /api/v1/bookings/cancel,Authenticated user,"As authenticated user, I want to cancel booking.",Cancel booking.,,Pending,,,
US-006,360 Stays,bookings,POST /api/v1/bookings/check-availability,Public,"As public, I want to check booking availability.",Check booking availability.,,Pending,,,
US-007,360 Stays,bookings,GET /api/v1/bookings/past,Authenticated user,"As authenticated user, I want to list past bookings.",List past bookings.,,Pending,,,
US-008,360 Stays,bookings,POST /api/v1/bookings/payment,Authenticated user,"As authenticated user, I want to process booking payment.",Process booking payment.,,Pending,,,
US-009,360 Stays,bookings,POST /api/v1/bookings/review,Authenticated user,"As authenticated user, I want to add booking review.",Add booking review.,,Pending,,,
US-010,360 Stays,bookings,GET /api/v1/bookings/upcoming,Authenticated user,"As authenticated user, I want to list upcoming bookings.",List upcoming bookings.,,Pending,,,
US-011,360 Stays,bookings,GET /api/v1/bookings/{booking_id},Authenticated user,"As authenticated user, I want to get booking details.",Get booking details.,booking_id,Pending,,,
US-012,360 Stays,bookings,PUT /api/v1/bookings/{booking_id},Authenticated user,"As authenticated user, I want to update booking.",Update booking.,booking_id,Pending,,,
US-013,360 Stays,payments,GET /api/v1/payments/methods,Authenticated user,"As authenticated user, I want to list the current user's saved payment methods.",List the current user's saved payment methods,,Pending,,,
US-014,360 Stays,payments,POST /api/v1/payments/methods,Authenticated user,"As authenticated user, I want to save a new payment method for the current user.",Save a new payment method for the current user,,Pending,,,
US-015,360 Stays,payments,PUT /api/v1/payments/methods/{method_id},Authenticated user,"As authenticated user, I want to update a saved payment method.",Update a saved payment method,method_id,Pending,,,
US-016,360 Stays,payments,DELETE /api/v1/payments/methods/{method_id},Authenticated user,"As authenticated user, I want to delete a saved payment method.",Delete a saved payment method,method_id,Pending,,,
US-017,360 Stays,payments,POST /api/v1/payments/razorpay/order,Authenticated user,"As authenticated user, I want to create a Razorpay order for a booking.",Create a Razorpay order for a booking,,Pending,,,
US-018,360 Stays,payments,POST /api/v1/payments/razorpay/verify,Authenticated user,"As authenticated user, I want to verify a Razorpay payment and mark booking paid.",Verify a Razorpay payment and mark booking paid,,Pending,,,
US-019,AI / Design Studio,design-studio,POST /api/v1/design-studio/generate,Authenticated user,"As authenticated user, I want to generate design image.","Generate an AI design image using Gemini 3 Pro Image Preview. **Requires authentication** (Supabase Bearer token). **Modes:** - `text-to-image`: Generate from a text prompt - `image-to-image`: Transform an uploaded image with a prompt **Request body:** - `mode`: Generation mode - `prompt`: Text description (3-4000 chars) - `image`: Base64-encoded source image (required for image-to-image) - `mimeType`: MIME type of source image (e.g., image/jpeg) **Response:** - `success`: Whether generation succeeded - `image`: Base64 data URL of generated image (on success) - `error`: Error message (on failure) - `code`: Error code (on failure)",,Pending,,,
US-020,AI Agent,ai-agent,POST /api/v1/agent/chat,Authenticated user,"As authenticated user, I want to send agent chat message.",Stream an AI agent response via Server-Sent Events. The main-pool DB session is released after the initial conversation setup. The streaming phase uses a background-pool session so the main pool is not held for the entire AI response duration.,,Pending,,,
US-021,AI Agent,ai-agent,POST /api/v1/agent/chat-public,Public,"As public, I want to send public agent chat message.","Stream an AI agent response for unauthenticated guests via SSE. Only property search tools are available. No conversation persistence. The main-pool DB session is released before streaming begins and a background-pool session is used for tool calls, matching the pattern in the authenticated ``/chat`` endpoint.",,Pending,,,
US-022,AI Agent,ai-agent,GET /api/v1/agent/conversations,Authenticated user,"As authenticated user, I want to list agent conversations.",List the authenticated user's AI conversations.,,Pending,,,
US-023,AI Agent,ai-agent,DELETE /api/v1/agent/conversations/{conversation_id},Authenticated user,"As authenticated user, I want to delete conversation.",Delete a conversation and all its messages. [HTTP 204 on success],conversation_id,Pending,,,
US-024,AI Agent,ai-agent,GET /api/v1/agent/conversations/{conversation_id}/messages,Authenticated user,"As authenticated user, I want to list conversation messages.",Get messages for a specific conversation.,"conversation_id,limit",Pending,,,
US-025,AI Agent,ai-agent,GET /api/v1/agent/widgets/{widget_name},Public,"As public, I want to get widget HTML.",Serve a pre-built HTML widget bundle by name. No auth required — widget HTML is static and data is injected client-side via postMessage after loading.,widget_name,Pending,,,
US-026,Auth & Identity,auth,GET /api/v1/auth/config,Public,"As public, I want to public auth configuration (Google client IDs).",PUBLIC. Return Google OAuth client IDs (any may be null).,,Pending,,,
US-027,Auth & Identity,auth,POST /api/v1/auth/delete-account,Authenticated user,"As authenticated user, I want to permanently delete the current user's account.",AUTH required. Permanently delete the caller's own account. Hard-deletes the Supabase Auth user (revoking all sessions) and anonymizes + soft-deletes the local record. App Store Guideline 5.1.1(v) compliance: the account becomes permanently unusable. Returns 204 No Content (alternate mobile-friendly route; the canonical ``DELETE /users/me`` returns 200 + MessageResponse). [HTTP 204 on success],,Pending,,,
US-028,Auth & Identity,auth,POST /api/v1/auth/identifier-status,Public,"As public, I want to probe the auth status of an email/phone (drives client login flow).","PUBLIC. Return a NEUTRAL status for the given identifier. Rate-limited per-IP. Detects channel (``'@'`` → email, else phone), looks the identifier up directly in Supabase ``auth.users``, and computes ``next_step``: ``""password""`` iff the identifier exists, is verified, and has a password credential (``encrypted_password`` present); otherwise ``""otp""``.",,Pending,,,
US-029,Auth & Identity,auth,POST /api/v1/auth/last-method,Authenticated user,"As authenticated user, I want to record the last authentication method used by the current user.",AUTH required. Persist ``method`` on the current user. Returns 204 No Content. [HTTP 204 on success],,Pending,,,
US-030,Auth & Identity,auth,POST /api/v1/auth/link-identity,Authenticated user,"As authenticated user, I want to link an OAuth identity to the current Supabase user.",AUTH required. Wrap the GoTrue Admin identity-linking call.,,Pending,,,
US-031,Auth & Identity,oauth,GET /api/v1/mcp/oauth/authorize,Public,"As public, I want to oAuth authorize.",OAuth 2.1 Authorization Endpoint.,"response_type,client_id,redirect_uri,scope,state,code_challenge,code_challenge_method,resource",Pending,,,
US-032,Auth & Identity,oauth,GET /api/v1/mcp/oauth/callback,Public,"As public, I want to oAuth callback.",Handle OAuth callback for MCP clients.,"code,state,iss",Pending,,,
US-033,Auth & Identity,oauth,GET /api/v1/mcp/oauth/consent,Public,"As public, I want to oAuth consent page.",OAuth consent and login page.,session,Pending,,,
US-034,Auth & Identity,oauth,POST /api/v1/mcp/oauth/consent,Public,"As public, I want to process OAuth consent.",Process OAuth consent and login.,,Pending,,,
US-035,Auth & Identity,oauth,POST /api/v1/mcp/oauth/register,Public,"As public, I want to register OAuth client.",RFC 7591 Dynamic Client Registration Endpoint.,,Pending,,,
US-036,Auth & Identity,oauth,POST /api/v1/mcp/oauth/revoke,Public,"As public, I want to revoke OAuth token.",RFC 7009 OAuth token revocation endpoint.,,Pending,,,
US-037,Auth & Identity,oauth,POST /api/v1/mcp/oauth/token,Public,"As public, I want to oAuth token endpoint.",OAuth 2.1 Token Endpoint.,,Pending,,,
US-038,Auth & Identity,users,GET /api/v1/users,Authenticated user,"As authenticated user, I want to list users.",List users. Admins see all (optionally filter by agent). Agents see their assigned users.,"q,agent_id",Pending,,,
US-039,Auth & Identity,users,PUT /api/v1/users/location,Authenticated user,"As authenticated user, I want to update user location.",Update user's current location,,Pending,,,
US-040,Auth & Identity,users,GET /api/v1/users/me,Authenticated user,"As authenticated user, I want to get current user.",Get current user profile (alias for /profile).,,Pending,,,
US-041,Auth & Identity,users,DELETE /api/v1/users/me,Authenticated user,"As authenticated user, I want to delete my account.",Delete the current user's account. Hard-deletes the Supabase Auth user (revoking all sessions) and anonymizes + soft-deletes the local record. Shares the same logic as ``POST /auth/delete-account``.,,Pending,,,
US-042,Auth & Identity,users,PUT /api/v1/users/me,Authenticated user,"As authenticated user, I want to update current user.",Update current user profile (alias for /profile).,,Pending,,,
US-043,Auth & Identity,users,GET /api/v1/users/me/auth-state,Authenticated user,"As authenticated user, I want to get current user auth state.","Compute and return the current auth gate stage for the user. Returns the centralized gate state: ``stage``: one of identifier_verification, password_setup, profile_completion, app_onboarding, active ``next_action``: what the client should route to ``missing_fields``: profile fields still required (if applicable) The ``app`` query param selects which app's onboarding check to run (defaults to ``flatmates``). New apps register their check via :func:`register_app_onboarding_check` during startup.",app,Pending,,,
US-044,Auth & Identity,users,POST /api/v1/users/me/avatar,Authenticated user,"As authenticated user, I want to upload user avatar.","Upload a profile avatar image. The image is automatically converted to WebP and downscaled to 512 px max dimension at quality 85 before storage, saving bandwidth and storage costs. Returns the updated user profile with the new ``profile_image_url``.",,Pending,,,
US-045,Auth & Identity,users,GET /api/v1/users/me/identities,Authenticated user,"As authenticated user, I want to list linked identities.","Return the OAuth identities linked to the current Supabase user. Reads from the app_metadata on the current user (populated during login by the dependency layer). Returns a list of ``{provider, identity_id}``.",,Pending,,,
US-046,Auth & Identity,users,POST /api/v1/users/me/onboarding,Authenticated user,"As authenticated user, I want to complete user onboarding.",Mark the given app's onboarding as complete. Sets ``<app>_onboarding_completed = True`` on the current user so the gate advances past ``app_onboarding`` on subsequent ``GET /me/auth-state`` calls.,app,Pending,,,
US-047,Auth & Identity,users,PUT /api/v1/users/me/phone,Authenticated user,"As authenticated user, I want to update current user phone.",Update current user's phone number. Phone is saved but NOT verified.,,Pending,,,
US-048,Auth & Identity,users,POST /api/v1/users/me/profile-image,Authenticated user,"As authenticated user, I want to upload user profile image.",Upload a profile image (alias for /me/avatar). The image is automatically converted to WebP and downscaled to 512 px max dimension at quality 85 before storage.,,Pending,,,
US-049,Auth & Identity,users,GET /api/v1/users/notification-settings,Authenticated user,"As authenticated user, I want to get notification settings.",Return the current user's notification settings. Falls back to defaults defined in NotificationSettings when no explicit settings are stored.,,Pending,,,
US-050,Auth & Identity,users,PUT /api/v1/users/notification-settings,Authenticated user,"As authenticated user, I want to update notification settings.",Update the current user's notification settings (360 Ghar app).,,Pending,,,
US-051,Auth & Identity,users,PUT /api/v1/users/notifications,Authenticated user,"As authenticated user, I want to update notifications.",Compatibility endpoint for the stays app. Accepts an arbitrary JSON object and stores it in users.notification_settings.,,Pending,,,
US-052,Auth & Identity,users,GET /api/v1/users/preferences,Authenticated user,"As authenticated user, I want to get user preferences.",Get user preferences,,Pending,,,
US-053,Auth & Identity,users,PUT /api/v1/users/preferences,Authenticated user,"As authenticated user, I want to update user preferences.",Update user preferences,,Pending,,,
US-054,Auth & Identity,users,PUT /api/v1/users/privacy,Authenticated user,"As authenticated user, I want to update privacy.",Compatibility endpoint for the stays app privacy settings.,,Pending,,,
US-055,Auth & Identity,users,GET /api/v1/users/privacy-settings,Authenticated user,"As authenticated user, I want to get privacy settings.",Return the current user's privacy settings.,,Pending,,,
US-056,Auth & Identity,users,PUT /api/v1/users/privacy-settings,Authenticated user,"As authenticated user, I want to update privacy settings.",Update the current user's privacy settings (360 Ghar app).,,Pending,,,
US-057,Auth & Identity,users,GET /api/v1/users/profile,Authenticated user,"As authenticated user, I want to get user profile.",Get current user profile,,Pending,,,
US-058,Auth & Identity,users,PUT /api/v1/users/profile,Authenticated user,"As authenticated user, I want to update user profile.",Update user profile,,Pending,,,
US-059,Auth & Identity,users,GET /api/v1/users/{user_id},Authenticated user,"As authenticated user, I want to get user details.",Get user details.,user_id,Pending,,,
US-060,Auth & Identity,users,PUT /api/v1/users/{user_id},Authenticated user,"As authenticated user, I want to update user.",Update user.,user_id,Pending,,,
US-061,Auth & Identity,users,POST /api/v1/users/{user_id}/assign-agent,Admin,"As admin, I want to assign agent to user.",Assign agent to user.,user_id,Pending,,,
US-062,Blog,blog,POST /api/v1/blog/categories,Authenticated user,"As authenticated user, I want to create blog category.",Create a new blog category (admin only). Invalidates category cache. [HTTP 201 on success],,Pending,,,
US-063,Blog,blog,GET /api/v1/blog/categories,Public (auth optional),"As public (auth optional), I want to list blog categories.",List all blog categories with cursor pagination. Public endpoint.,,Pending,,,
US-064,Blog,blog,GET /api/v1/blog/categories/{identifier},Public (auth optional),"As public (auth optional), I want to get blog category.",Get a specific category by ID or slug. Public endpoint.,identifier,Pending,,,
US-065,Blog,blog,PUT /api/v1/blog/categories/{identifier},Authenticated user,"As authenticated user, I want to update blog category.",Update a category by ID or slug (admin only). Invalidates category cache.,identifier,Pending,,,
US-066,Blog,blog,DELETE /api/v1/blog/categories/{identifier},Authenticated user,"As authenticated user, I want to delete blog category.",Delete a category by ID or slug (admin only). Invalidates category cache.,identifier,Pending,,,
US-067,Blog,blog,POST /api/v1/blog/generate-bulk,Authenticated user,"As authenticated user, I want to generate blogs in bulk.","Generate multiple draft blogs by first researching topics, then generating each one. Admin only.",,Pending,,,
US-068,Blog,blog,POST /api/v1/blog/generate-from-topic,Authenticated user,"As authenticated user, I want to generate blog from topic.",Generate a draft blog from a given topic using Perplexity and fetch images via Google Images (SerpAPI). Admin only.,,Pending,,,
US-069,Blog,blog,POST /api/v1/blog/posts,Authenticated user,"As authenticated user, I want to create blog post.",Create a new blog post (admin only).,,Pending,,,
US-070,Blog,blog,GET /api/v1/blog/posts,Public (auth optional),"As public (auth optional), I want to list blog posts.","List blog posts with cursor pagination, filters for categories, tags, and text search.","q,categories,tags,keywords,status",Pending,,,
US-071,Blog,blog,GET /api/v1/blog/posts/preview/{token},Public,"As public, I want to preview blog post by token.",Publicly fetch a blog post (any status) using its preview token. No authentication required. Intended for sharing drafts/scheduled posts for review before they are published.,token,Pending,,,
US-072,Blog,blog,GET /api/v1/blog/posts/{identifier},Public (auth optional),"As public (auth optional), I want to get blog post.",Get a specific blog post by ID or slug. Public endpoint.,identifier,Pending,,,
US-073,Blog,blog,PUT /api/v1/blog/posts/{identifier},Authenticated user,"As authenticated user, I want to update blog post.",Update a blog post by ID or slug (admin only).,identifier,Pending,,,
US-074,Blog,blog,DELETE /api/v1/blog/posts/{identifier},Authenticated user,"As authenticated user, I want to delete blog post.",Delete a blog post by ID or slug (admin only).,identifier,Pending,,,
US-075,Blog,blog,POST /api/v1/blog/posts/{post_id}/preview-token,Authenticated user,"As authenticated user, I want to generate preview token.",Generate (or rotate) a preview token for a blog post. Admin only.,post_id,Pending,,,
US-076,Blog,blog,POST /api/v1/blog/tags,Authenticated user,"As authenticated user, I want to create blog tag.",Create a new blog tag (admin only). Invalidates tag cache. [HTTP 201 on success],,Pending,,,
US-077,Blog,blog,GET /api/v1/blog/tags,Public (auth optional),"As public (auth optional), I want to list blog tags.",List all blog tags with cursor pagination. Public endpoint.,,Pending,,,
US-078,Blog,blog,GET /api/v1/blog/tags/{identifier},Public (auth optional),"As public (auth optional), I want to get blog tag.",Get a specific tag by ID or slug. Public endpoint.,identifier,Pending,,,
US-079,Blog,blog,PUT /api/v1/blog/tags/{identifier},Authenticated user,"As authenticated user, I want to update blog tag.",Update a tag by ID or slug (admin only). Invalidates tag cache.,identifier,Pending,,,
US-080,Blog,blog,DELETE /api/v1/blog/tags/{identifier},Authenticated user,"As authenticated user, I want to delete blog tag.",Delete a tag by ID or slug (admin only). Invalidates tag cache.,identifier,Pending,,,
US-081,Core / Platform,core,POST /api/v1/bugs,Authenticated user,"As authenticated user, I want to create bug report.",Create a new bug report,,Pending,,,
US-082,Core / Platform,core,GET /api/v1/bugs,Authenticated user,"As authenticated user, I want to list bug reports.",Get bug reports (filtered by current user if not admin),"status,bug_type",Pending,,,
US-083,Core / Platform,core,POST /api/v1/bugs/with-media,Authenticated user,"As authenticated user, I want to create bug report with media.",Create a bug report with media uploads,,Pending,,,
US-084,Core / Platform,core,GET /api/v1/bugs/{bug_id},Authenticated user,"As authenticated user, I want to get bug report.",Get a specific bug report,bug_id,Pending,,,
US-085,Core / Platform,core,PUT /api/v1/bugs/{bug_id},Authenticated user,"As authenticated user, I want to update bug report.",Update a bug report (admin only for status updates),bug_id,Pending,,,
US-086,Core / Platform,core,POST /api/v1/faqs,Admin,"As admin, I want to create FAQ.",Create a new FAQ (admin only). Invalidates FAQ cache.,,Pending,,,
US-087,Core / Platform,core,GET /api/v1/faqs,Admin,"As admin, I want to list FAQs (admin).",Get FAQs with admin filters (admin only),"category,is_active",Pending,,,
US-088,Core / Platform,core,GET /api/v1/faqs/public,Public,"As public, I want to list FAQs (public).","Public FAQs listing (only active FAQs, cached 6hrs).",category,Pending,,,
US-089,Core / Platform,core,GET /api/v1/faqs/{faq_id},Admin,"As admin, I want to get FAQ.",Get a specific FAQ (admin only),faq_id,Pending,,,
US-090,Core / Platform,core,PUT /api/v1/faqs/{faq_id},Admin,"As admin, I want to update FAQ.",Update an FAQ (admin only). Invalidates FAQ cache.,faq_id,Pending,,,
US-091,Core / Platform,core,DELETE /api/v1/faqs/{faq_id},Admin,"As admin, I want to delete FAQ.",Soft delete an FAQ (admin only). Invalidates FAQ cache.,faq_id,Pending,,,
US-092,Core / Platform,core,POST /api/v1/pages,Admin,"As admin, I want to create page.",Create a new page (admin only),,Pending,,,
US-093,Core / Platform,core,GET /api/v1/pages,Admin,"As admin, I want to list pages.",Get pages (admin only),"is_active,is_draft",Pending,,,
US-094,Core / Platform,core,GET /api/v1/pages/{unique_name},Admin,"As admin, I want to get page.",Get a specific page by unique name (admin only),unique_name,Pending,,,
US-095,Core / Platform,core,PUT /api/v1/pages/{unique_name},Admin,"As admin, I want to update page.",Update a page (admin only),unique_name,Pending,,,
US-096,Core / Platform,core,DELETE /api/v1/pages/{unique_name},Admin,"As admin, I want to delete page.",Delete a page (admin only),unique_name,Pending,,,
US-097,Core / Platform,core,GET /api/v1/pages/{unique_name}/public,Public,"As public, I want to get public page.",Get a page for public access (no auth required),unique_name,Pending,,,
US-098,Core / Platform,core,POST /api/v1/versions,Admin,"As admin, I want to create app version.",Create a new app version entry (admin only). Invalidates version cache.,,Pending,,,
US-099,Core / Platform,core,GET /api/v1/versions,Admin,"As admin, I want to list app versions.",Get app versions (admin only),"app,platform,is_active",Pending,,,
US-100,Core / Platform,core,POST /api/v1/versions/check,Public,"As public, I want to check for app updates.","Check if there's an available update (public endpoint, cached 1hr).",,Pending,,,
US-101,Core / Platform,core,PUT /api/v1/versions/{version_id},Admin,"As admin, I want to update app version.",Update an app version entry (admin only). Invalidates version cache.,version_id,Pending,,,
US-102,Core / Platform,webhooks,POST /api/v1/webhooks/auth/password-changed,Public,"As public, I want to supabase webhook: invalidate sessions after a password change.",Revoke all Supabase sessions for the user whose password just changed. Headers: X-Supabase-Signature: hex HMAC-SHA256 of the raw body using ``SUPABASE_WEBHOOK_SECRET``. [HTTP 200 on success],,Pending,,,
US-103,Core / Platform,share,GET /share/tours/{tour_id},Public,"As public, I want to render Open Graph/Twitter meta tags for a tour and redirect humans to the viewer.",Render Open Graph/Twitter meta tags for a tour and redirect humans to the viewer. The optional `redirect` query param allows the caller (frontend) to control where humans land after crawlers read the metadata.,"tour_id,redirect",Pending,,,
US-104,Data Hub,data-hub,POST /api/v1/data-hub/admin/import/{table_name},Admin,"As admin, I want to bulk import data.",Placeholder for bulk data import (admin only).,table_name,Pending,,,
US-105,Data Hub,data-hub,GET /api/v1/data-hub/admin/scraper/runs,Admin,"As admin, I want to list scraper runs.",List recent scraper runs (admin only).,,Pending,,,
US-106,Data Hub,data-hub,POST /api/v1/data-hub/admin/scraper/{scraper_name}/trigger,Admin,"As admin, I want to trigger scraper.",Trigger a named scraper manually (admin only).,scraper_name,Pending,,,
US-107,Data Hub,data-hub,GET /api/v1/data-hub/auctions,Public,"As public, I want to list bank auctions.",Paginated list of auctions. Defaults to bank auctions; set type='court' for court auctions.,"type,bank,city,source,property_type,min_price,max_price,date_from,date_to",Pending,,,
US-108,Data Hub,data-hub,POST /api/v1/data-hub/auctions/alerts,Authenticated user,"As authenticated user, I want to create auction alert.",Create a new auction alert for the authenticated user. [HTTP 201 on success],,Pending,,,
US-109,Data Hub,data-hub,GET /api/v1/data-hub/auctions/alerts/me,Authenticated user,"As authenticated user, I want to list my auction alerts.",Get the authenticated user's auction alerts.,,Pending,,,
US-110,Data Hub,data-hub,PUT /api/v1/data-hub/auctions/alerts/{alert_id},Authenticated user,"As authenticated user, I want to update auction alert.",Update an auction alert owned by the authenticated user.,alert_id,Pending,,,
US-111,Data Hub,data-hub,DELETE /api/v1/data-hub/auctions/alerts/{alert_id},Authenticated user,"As authenticated user, I want to delete auction alert.",Delete an auction alert owned by the authenticated user. [HTTP 204 on success],alert_id,Pending,,,
US-112,Data Hub,data-hub,GET /api/v1/data-hub/auctions/banks,Public,"As public, I want to list auction banks.",List distinct bank names from bank auctions (cached for 24 hours).,,Pending,,,
US-113,Data Hub,data-hub,GET /api/v1/data-hub/auctions/cities,Public,"As public, I want to list auction cities.",Return distinct city values from bank_auctions + court_auctions (cached for 24 hours).,,Pending,,,
US-114,Data Hub,data-hub,GET /api/v1/data-hub/auctions/source-categories,Public,"As public, I want to list auction source categories.",Return grouped source metadata with counts.,,Pending,,,
US-115,Data Hub,data-hub,GET /api/v1/data-hub/auctions/{auction_id},Public,"As public, I want to get auction details.","Get a single auction by ID — checks bank auctions first, then court auctions.",auction_id,Pending,,,
US-116,Data Hub,data-hub,GET /api/v1/data-hub/bank-rates,Public,"As public, I want to list bank rates.",List latest bank interest rates.,,Pending,,,
US-117,Data Hub,data-hub,GET /api/v1/data-hub/builders,Public,"As public, I want to list builders.","List builders aggregated from RERA projects, with complaint counts and scores.","q,order_by",Pending,,,
US-118,Data Hub,data-hub,GET /api/v1/data-hub/builders/{slug},Public,"As public, I want to get builder reputation.",Get builder reputation details by slug.,slug,Pending,,,
US-119,Data Hub,data-hub,POST /api/v1/data-hub/calculator/stamp-duty,Public,"As public, I want to calculate stamp duty.",Calculate stamp duty and registration fee (alias of /circle-rates/calculate-duty).,,Pending,,,
US-120,Data Hub,data-hub,GET /api/v1/data-hub/circle-rates,Public,"As public, I want to list circle rates.",List circle rates with optional filters.,"sector,year,property_type",Pending,,,
US-121,Data Hub,data-hub,POST /api/v1/data-hub/circle-rates/calculate-duty,Public,"As public, I want to calculate stamp duty.",Calculate stamp duty and registration fee (also callable from /calculator/stamp-duty).,,Pending,,,
